Inst.  Date     Time      X   Y  Dist. Counts   Geog.Pos.    Geomag.Pos.    MLT
WIC_2000_0704_10:42:03  184 155  51460  5726  66.65 222.08  68.64 270.73  23.78
WIC_2000_0705_10:11:35  184 150  39441 14254  72.80 170.44  67.81 226.64  20.36
WIC_2000_0705_12:55:07  179 152  50757  7811  69.01 186.88  65.27 241.14  23.88
WIC_2000_0705_14:04:37  199 147  52020  6644  70.81 127.68  64.88 196.53  21.95
WIC_2000_0706_03:38:45  193 171  51534  4326  58.29 290.66  67.82  11.91  23.58
WIC_2000_0706_07:23:37  207 179  45845  3866  58.31 260.32  67.94 323.21   0.03
WIC_2000_0706_19:01:13  200 146  51978  5413  72.15  59.68  67.31 137.86  23.62
WIC_2000_0707_08:59:53  172 163  52038  2468  61.54 245.88  68.65 301.09   0.17
WIC_2000_0707_20:27:16  186 147  46571  4535  73.25  28.63  69.43 114.31  23.53
WIC_2000_0708_11:06:48  138 158  48179  4392  61.86 230.34  65.69 282.69   0.95
WIC_2000_0708_14:57:49  195 142  50324  5018  72.58 164.76  67.25 223.01   0.49
WIC_2000_0709_13:30:07  134 160  37211  4808  73.09 170.76  68.14 226.57  23.44
WIC_2000_0709_19:29:54  217 145  50160  6504  72.47  42.21  68.09 123.97  23.19
WIC_2000_0710_05:19:09  156 183  46299  3031  57.90 283.02  68.24 359.96   0.44
WIC_2000_0710_08:27:14  193 172  51950  5963  59.12 232.54  63.47 286.74  22.66
WIC_2000_0710_18:12:25  182 157  38923  4568  71.41  49.34  66.85 128.91  22.08
WIC_2000_0711_09:59:25  171 174  47135  8936  61.90 210.84  61.64 264.39  22.67
WIC_2000_0712_01:58:41  216 168  51533  6433  55.89 292.74  65.22  14.40  22.15
WIC_2000_0712_04:32:00  206 173  49897  4949  59.57 280.92  69.95 356.73  23.44
WIC_2000_0713_07:17:46  184 171  52028  3438  59.58 249.33  67.41 306.79  22.83
WIC_2000_0713_09:51:05  221 151  47188  7681  72.30 201.57  70.73 247.97  21.44
WIC_2000_0713_19:48:31  205 151  49952  5343  68.96  26.52  65.28 108.93  22.50
WIC_2000_0713_20:39:37  206 148  51516  7460  70.14  15.00  67.16 101.04  22.83
WIC_2000_0714_10:07:37  205 139  50159  7478  76.09 173.83  71.49 225.03  20.17
WIC_2000_0714_20:23:32  129 223  26351  3917  64.02  25.57  60.27 105.12  22.83
WIC_2000_0714_23:29:29  164 171  47547  6799  63.15   4.72  60.64  87.93   0.72
WIC_2000_0715_00:47:10  209 166  51023  7629  54.69 301.11  62.54  25.44  21.79
WIC_2000_0715_03:18:27  206 180  50751  5403  54.59 292.61  63.97  13.93  23.37
WIC_2000_0715_14:02:53  175 164  48665  4227  65.83 132.87  59.76 202.58  22.33
WIC_2000_0715_16:48:29  171 133  51769 14837  65.47 163.02  59.57 226.37   2.77
WIC_2000_0716_04:21:59  194 175  48934  9771  55.93 257.30  65.21 319.44  20.78
WIC_2000_0724_10:58:37  131 146  46657  4731  63.89 232.26  68.09 283.25   0.84
WIC_2000_0726_06:03:56  140 176  48124  2082  55.58 278.54  66.26 352.60   0.67
WIC_2000_0726_22:31:46  223 159  52006  7066  62.14 329.08  64.42  58.36  21.76
WIC_2000_0727_21:16:19   10 200  23784  5902  71.01  43.36  66.63 123.79   0.89
WIC_2000_0728_00:20:11  209 172  46514  3447  60.21 306.20  67.02  33.69  21.88
WIC_2000_0728_01:19:27  212 163  49803  4610  59.74 282.29  70.03 359.00  20.50
WIC_2000_0728_03:15:58  202 174  51984  6394  56.94 273.53  67.60 344.51  21.37
WIC_2000_0728_15:36:27  201 158  49932  8547  67.71  87.43  62.67 161.05  21.02
WIC_2000_0729_04:03:04  141 202  42919  4151  51.02 288.17  61.12   6.91  23.64
WIC_2000_0729_07:13:10  160 180  51937  4417  52.22 250.12  60.32 310.75  23.01
WIC_2000_0729_20:53:21  194 153  51456  4282  70.44  21.87  67.02 106.53  23.36
WIC_2000_0730_11:49:10  160 140  51986  2562  64.95 215.50  65.64 266.29   0.53
WIC_2000_0730_12:40:17  186 135  51691  4281  69.54 203.54  68.12 252.64   0.43
WIC_2000_0730_13:39:34  205 142  50038  5522  71.65 172.77  66.76 229.25  23.81
